Time(s),Acceleration(m/s^2)
0.0,0.0478
0.01,0.0938
0.02,0.1225
0.03,0.2238
0.04,0.2894
0.05,0.3157
0.06,0.3603
0.07,0.4989
0.08,0.4615
0.09,0.4477
0.1,0.5056
0.11,0.463
0.12,0.5424
0.13,0.581
0.14,0.4561
0.15,0.4292
0.16,0.5136
0.17,0.4378
0.18,0.3236
0.19,0.3514
0.2,0.322
0.21,0.1846
0.22,0.2371
0.23,0.0917
0.24,-0.0237
0.25,0.0254
0.26,-0.087
0.27,-0.1441
0.28,-0.1469
0.29,-0.2215
0.3,-0.3107
0.31,-0.3352
0.32,-0.3661
0.33,-0.4315
0.34,-0.4378
0.35,-0.513
0.36,-0.4789
0.37,-0.4793
0.38,-0.4807
0.39,-0.5348
0.4,-0.5221
0.41,-0.4721
0.42,-0.5096
0.43,-0.4133
0.44,-0.4236
0.45,-0.261
0.46,-0.2515
0.47,-0.2424
0.48,-0.1353
0.49,-0.0638
0.5,0.0242
0.51,-0.043
0.52,0.1231
0.53,0.1824
0.54,0.2609
0.55,0.2984
0.56,0.3395
0.57,0.3395
0.58,0.424
0.59,0.383
0.6,0.499
0.61,0.5361
0.62,0.5202
0.63,0.5905
0.64,0.4646
0.65,0.4508
0.66,0.462
0.67,0.3776
0.68,0.4568
0.69,0.2582
0.7,0.2933
0.71,0.1325
0.72,0.273
0.73,0.1466
0.74,0.1076
0.75,-0.0495
0.76,0.0517
0.77,-0.0366
0.78,-0.0958
0.79,-0.2887
0.8,-0.2831
0.81,-0.3871
0.82,-0.2848
0.83,-0.4442
0.84,-0.4386
0.85,-0.5358
0.86,-0.4299
0.87,-0.4122
0.88,-0.4669
0.89,-0.5112
0.9,-0.4081
0.91,-0.4576
0.92,-0.3876
0.93,-0.3796
0.94,-0.3493
0.95,-0.2567
0.96,-0.2045
0.97,-0.2182
0.98,-0.1664
0.99,-0.0748
1.0,1.7914
1.01,1.7929
1.02,1.8118
1.03,1.9425
1.04,1.9556
1.05,0.2609
1.06,0.3437
1.07,0.4431
1.08,0.3551
1.09,0.432
1.1,0.4526
1.11,0.5027
1.12,0.4634
1.13,0.5872
1.14,0.4431
1.15,0.4526
1.16,0.5002
1.17,0.4307
1.18,0.3631
1.19,0.2507
1.2,0.2525
1.21,0.2585
1.22,0.1825
1.23,0.2014
1.24,0.1023
1.25,0.0069
1.26,-0.0336
1.27,-0.036
1.28,-0.1791
1.29,-0.1843
1.3,-0.3251
1.31,-0.3661
1.32,-0.3961
1.33,-0.4359
1.34,-0.4233
1.35,-0.5023
1.36,-0.5557
1.37,-0.5149
1.38,-0.4957
1.39,-0.4339
1.4,-0.4544
1.41,-0.4911
1.42,-0.3989
1.43,-0.4408
1.44,-0.2739
1.45,-0.2859
1.46,-0.3042
1.47,-0.2444
1.48,-0.13
1.49,0.0096
1.5,0.0393
1.51,0.033
1.52,0.1253
1.53,0.1576
1.54,0.3945
1.55,0.3032
1.56,0.3158
1.57,0.4872
1.58,0.3752
1.59,0.4796
1.6,0.4318
1.61,0.5423
1.62,0.5758
1.63,0.3825
1.64,0.5224
1.65,0.4102
1.66,0.4099
1.67,0.5176
1.68,0.4752
1.69,0.2997
1.7,0.2641
1.71,0.2665
1.72,0.1088
1.73,0.1468
1.74,-0.035
1.75,0.067
1.76,-0.0252
1.77,-0.1855
1.78,-0.2186
1.79,-0.2939
1.8,-0.2003
1.81,-0.4159
1.82,-0.3605
1.83,-0.4027
1.84,-0.4426
1.85,-0.5496
1.86,-0.4629
1.87,-0.4077
1.88,-0.5329
1.89,-0.4424
1.9,-0.4726
1.91,-0.6364
1.92,-0.4309
1.93,-0.3539
1.94,-0.3767
1.95,-0.3565
1.96,-0.2641
1.97,-0.1799
1.98,-0.0728
1.99,-0.0462
2.0,0.0576
2.01,0.0665
2.02,0.1873
2.03,0.1616
2.04,0.2592
2.05,0.1976
2.06,0.3714
2.07,0.3496
2.08,0.3961
2.09,0.4665
2.1,0.4854
2.11,0.5163
2.12,0.4822
2.13,0.5801
2.14,0.5304
2.15,0.4029
2.16,0.4202
2.17,0.4124
2.18,0.2989
2.19,0.2958
2.2,0.3643
2.21,0.1831
2.22,0.1735
2.23,0.2344
2.24,0.0954
2.25,-0.0217
2.26,-0.0537
2.27,-0.0391
2.28,-0.2841
2.29,-0.2681
2.3,-0.2377
2.31,-0.4212
2.32,-0.4411
2.33,-0.4141
2.34,-0.4237
2.35,-0.5208
2.36,-0.4553
2.37,-0.5113
2.38,-0.4801
2.39,-0.4535
2.4,-0.4806
2.41,-0.5044
2.42,-0.3525
2.43,-0.3923
2.44,-0.3827
2.45,-0.2348
2.46,-0.2014
2.47,-0.2324
2.48,-0.0752
2.49,-0.1185
2.5,1.3473
2.51,1.4977
2.52,1.5044
2.53,1.488
2.54,1.6163
2.55,0.2688
2.56,0.3147
2.57,0.3261
2.58,0.4706
2.59,0.4546
2.6,0.4906
2.61,0.5257
2.62,0.454
2.63,0.5256
2.64,0.4864
2.65,0.5047
2.66,0.3776
2.67,0.4157
2.68,0.404
2.69,0.325
2.7,0.3172
2.71,0.2525
2.72,0.0576
2.73,0.1177
2.74,0.0816
2.75,-0.0509
2.76,0.0055
2.77,-0.1313
2.78,-0.2422
2.79,-0.2292
2.8,-0.3281
2.81,-0.3019
2.82,-0.3436
2.83,-0.3269
2.84,-0.4485
2.85,-0.4711
2.86,-0.5335
2.87,-0.4914
2.88,-0.5638
2.89,-0.4478
2.9,-0.4768
2.91,-0.4794
2.92,-0.3828
2.93,-0.4586
2.94,-0.3383
2.95,-0.3087
2.96,-0.2864
2.97,-0.092
2.98,-0.0379
2.99,-0.2209
3.0,0.0193
3.01,0.0844
3.02,0.1135
3.03,0.2152
3.04,0.1782
3.05,0.4103
3.06,0.2931
3.07,0.5304
3.08,0.42
3.09,0.4332
3.1,0.4212
3.11,0.4666
3.12,0.5916
3.13,0.4904
3.14,0.5386
3.15,0.5422
3.16,0.4909
3.17,0.385
3.18,0.3716
3.19,0.2653
3.2,0.2254
3.21,0.2208
3.22,0.2127
3.23,0.1648
3.24,0.0797
3.25,-0.0706
3.26,-0.0322
3.27,-0.0801
3.28,-0.1093
3.29,-0.2298
3.3,-0.287
3.31,-0.2337
3.32,-0.4113
3.33,-0.3716
3.34,-0.4023
3.35,-0.4724
3.36,-0.5532
3.37,-0.407
3.38,-0.4983
3.39,-0.491
3.4,-0.3981
3.41,-0.4011
3.42,-0.4782
3.43,-0.3299
3.44,-0.4363
3.45,-0.2671
3.46,-0.2882
3.47,-0.2538
3.48,-0.0901
3.49,-0.1106
3.5,-0.023
3.51,0.0177
3.52,0.1345
3.53,0.1843
3.54,0.3887
3.55,0.3101
3.56,0.3919
3.57,0.3843
